Month,Generation_MWh
2021-05-01,12450660.45
2021-06-01,12190276.63
2021-07-01,12185181.200000001
2021-08-01,11960327.82
2021-09-01,11207749.63
2021-10-01,9261538.549999999
2021-11-01,7788601.0
2021-12-01,6084365.26
2022-01-01,7815125.74
2022-02-01,9020259.389999999
2022-03-01,11687722.08
2022-04-01,13395133.16
2022-05-01,15113708.23
2022-06-01,16045832.51
2022-07-01,15758970.97
2022-08-01,14495850.57
2022-09-01,13279635.22
2022-10-01,11935001.55
2022-11-01,8396012.71
2022-12-01,6770635.75
2023-01-01,7799544.84
2023-02-01,9428087.610000001
2023-03-01,12206312.379999999
2023-04-01,15055140.530000001
2023-05-01,17274547.75
2023-06-01,17827199.49
2023-07-01,18887811.91
2023-08-01,17737550.54
2023-09-01,15576323.850000001
2023-10-01,14114212.24
2023-11-01,10439610.45
2023-12-01,9106007.040000001
2024-01-01,9733103.569999998
2024-02-01,12482630.4
2024-03-01,15833839.49
2024-04-01,19094576.959999997
2024-05-01,22202617.259999998
2024-06-01,24287137.39
2024-07-01,24193973.01
2024-08-01,24048832.15
2024-09-01,20257354.36
2024-10-01,19518308.36
2024-11-01,13871840.18
2024-12-01,12935562.299999999
2025-01-01,15348957.12
2025-02-01,16367804.22
2025-03-01,23060898.19
2025-04-01,26605161.53
